Rainfall,Evaporation,Humidity,Pressure,Cloud,Temp,RainToday,RISK_MM,RainTomorrow
0,4.4,55,1018.7,1,14.7,No,0,No
0,5.8,60,1021.6,1,16.2,No,0,No
0,6.4,64,1021.3,3,17,No,0,No
0,6.8,67,1020.1,7,17.6,No,0,No
0,7.4,70,1016.5,1,18.3,No,0,No
0,6.6,71,1013.1,1,19.7,No,0,No
0,9.4,60,1013.9,0,22.4,No,0,No
0,10.4,72,1017.4,1,19.8,No,0,No
0,9.2,68,1018,1,22.2,No,5.2,Yes
5.2,10.2,66,1014.6,7,21.4,Yes,2.2,Yes
2.2,5.4,73,1018.9,8,16.5,Yes,0,No
0,5.8,71,1018.2,7,19.1,No,0,No
0,5.8,67,1016.7,6,21.7,No,1.8,Yes
1.8,8,92,1014.4,8,18.5,Yes,9,Yes
9,2.8,88,1010,8,18.4,Yes,1,No
1,2.8,77,1002.1,4,18.7,No,0,No
0,6.8,76,999.4,7,17.9,No,16.2,Yes
16.2,5.4,75,1007.6,7,13.6,Yes,0,No
0,4,65,1007.7,6,13.8,No,0,No
0,5.8,66,1013.6,1,14,No,0,No
0,5,74,1016.1,1,14.6,No,4.4,Yes
4.4,6.6,95,1010.8,8,15.8,Yes,11,Yes
11,3.2,81,1010,7,16.3,Yes,0.2,No
0.2,2.8,63,1017.5,1,13.7,No,0,No
0,5.6,69,1020.2,1,15,No,0,No
0,7.2,71,1022.9,1,15.3,No,0,No
0,7.4,64,1025.2,7,15.4,No,0,No
0,6.8,72,1021.3,5,17.2,No,0,No
0,5.6,69,1017.6,1,16.9,No,0,No
0,7.2,78,1012.2,2,17.4,No,1.8,Yes
1.8,7.8,88,1011.8,7,17.5,Yes,6.6,Yes
6.6,3.2,78,1008.3,5,16.5,Yes,0,No
0,7.8,57,1007.4,1,15.7,No,0,No
0,10.4,54,1007.9,0,15.1,No,0,No
0,5.2,70,1016.4,6,15.8,No,0,No
0,5,74,1017.6,3,17.4,No,0,No
0,7.8,74,1013.6,2,17.6,No,0,No
0,7.6,74,1010,7,15.7,No,10.4,Yes
10.4,5.2,58,1015.5,5,10.6,Yes,0,No
0,6.2,60,1020.8,1,11.7,No,0,No
0,6.2,65,1026.3,0,12.2,No,0,No
0,5.6,78,1025.4,1,13.8,No,0,No
0,6,72,1021.1,1,15.6,No,0,No
0,6,69,1025.5,1,15.7,No,0,No
0,6,76,1023.9,2,17.4,No,0,No
0,8.4,56,1021.6,0,17.5,No,3,Yes
3,4.8,79,1024.7,1,14,Yes,0,No
0,5,66,1024.8,0,17.8,No,0,No
0,6.6,74,1024.9,1,17.2,No,0,No
0,6.4,50,1022.8,0,20.2,No,0.2,No
0.2,7.8,80,1021.6,2,17.5,No,0,No
0,8.6,91,1020.9,7,16.1,No,0,No
0,7.2,57,1022.6,0,17.9,No,0,No
0,6.4,47,1022.5,5,21.4,No,0,No
0,9.4,44,1024.3,5,18.2,No,0,No
0,7.8,73,1024.3,1,17.7,No,0,No
0,5.8,76,1022.7,0,16.8,No,0,No
0,9,59,1022.1,1,19.7,No,0,No
0,5.2,76,1013.8,7,17.1,No,0,No
0,8.2,77,1017.4,7,13.3,No,0,No
0,2.8,71,1023.6,7,14,No,0,No
0,2.4,76,1023.2,7,15.5,No,0.6,No
0.6,4.8,89,1018.7,8,17.1,No,6.4,Yes
6.4,2.8,94,1010.2,8,16.4,Yes,19.8,Yes
19.8,2.6,76,1007.9,5,15.1,Yes,0,No
0,4.6,80,1014.8,1,8.4,No,0,No
0,3.6,78,1017.4,1,9.2,No,0,No
0,3.4,90,1015.1,6,8.8,No,0,No
0,6.4,60,1011.2,3,11.2,No,0,No
0,6.4,54,1012.7,2,13.1,No,0,No
0,6,72,1023.9,0,8.7,No,0,No
0,3.6,90,1018,1,9.5,No,2.6,Yes
2.6,9.6,68,1010.3,1,9.1,Yes,0,No
0,4.8,77,1021.2,0,5.2,No,0,No
0,3.2,76,1025.2,0,8.2,No,0,No
0,2.8,70,1028,1,12.9,No,0,No
0,3.8,66,1027.8,1,14.9,No,0,No
0,4.2,68,1028.2,5,13.8,No,0,No
0,2.8,69,1025.7,6,14.3,No,0,No
0,2.2,82,1023.1,1,14,No,0,No
0,3.4,72,1021,0,12.7,No,0,No
0,4.6,75,1019.2,7,11.5,No,2,Yes
2,3.2,96,1018.4,5,10.7,Yes,5.2,Yes
5.2,3.8,70,1020.8,1,12.4,Yes,0,No
0,3.2,66,1027.2,1,12.3,No,0,No
0,3.4,65,1027.9,1,12.6,No,0,No
0,4.6,77,1027.2,7,12,No,0,No
0,3.2,58,1027.3,3,14,No,0,No
0,3,69,1029.5,6,13.6,No,0,No
0,4.4,66,1028.2,4,13.5,No,0,No
0,2.8,77,1024.8,1,10.6,No,0,No
0,3.8,79,1025.8,7,12.5,No,0,No
0,4,74,1025.5,6,12.6,No,0,No
0,2,82,1023.7,4,9.2,No,0,No
0,2,84,1019.9,7,10.1,No,0.2,No
0.2,2.8,99,1011.9,7,7.9,No,0,No
0,5.8,68,1003.2,6,14.4,No,7.2,Yes
7.2,4.4,75,1006.3,3,7.1,Yes,0.2,No
0.2,1.8,69,1020.6,0,6.3,No,0,No
0,1.4,80,1024.2,1,5.3,No,0,No
0,2.8,67,1020.6,7,10.5,No,0,No
0,1.6,81,1020,1,8.7,No,0,No
0,4,74,1020.8,1,7.4,No,0,No
0,2.4,76,1022.7,5,6.2,No,0,No
0,3.4,76,1019.8,6,7.7,No,0,No
0,2.8,70,1018,7,12.5,No,0,No
0,3.4,73,1015.8,1,12.4,No,0,No
0,4.4,80,1021.4,1,6.7,No,0,No
0,2.2,78,1023.2,0,7.6,No,0,No
0,2.4,80,1023.2,1,8.4,No,0,No
0,2,80,1024.4,7,13.5,No,0,No
0,2.2,73,1024.2,7,12.1,No,0,No
0,2.2,87,1024.7,1,7.9,No,0,No
0,2,84,1024.4,1,8.5,No,0,No
0,2.4,80,1023.5,1,6.8,No,1.8,Yes
1.8,3,88,1017.7,7,10,Yes,1,No
1,1.8,68,1006.3,7,11.3,No,0.8,No
0.8,1.6,71,1008.4,6,7.9,No,0,No
0,2.2,85,1017.8,1,3.5,No,0,No
0,2.2,99,1021.9,8,3.8,No,0,No
0,2.6,81,1024.5,6,8,No,0,No
0,2.6,74,1030.4,1,5.9,No,0,No
0,2.4,81,1028.5,7,5.3,No,0,No
0,1.2,74,1026.7,0,6.5,No,0,No
0,1.6,81,1025.5,1,6.2,No,3.8,Yes
3.8,2,99,1026.6,7,7,Yes,5.2,Yes
5.2,1.2,93,1025.7,1,8.9,Yes,0,No
0,1.6,91,1027.2,1,6.2,No,0.2,No
0.2,1.2,92,1032.1,2,5.5,No,0,No
0,2,83,1033.2,1,5.6,No,0,No
0,2.2,84,1030.2,2,4.7,No,0,No
0,2.2,99,1032.3,7,4.6,No,0,No
0,1,85,1030.3,7,9.9,No,0.8,No
0.8,0.6,99,1028.5,8,12.1,No,3.8,Yes
3.8,0.2,78,1028.2,8,11.5,Yes,0,No
0,2.2,84,1025.9,6,10.3,No,0,No
0,1.6,74,1025.2,1,9.6,No,0,No
0,1.4,86,1027.6,1,4.9,No,0,No
0,2,76,1034.3,7,7.9,No,0,No
0,1.2,75,1031.4,7,12.1,No,6.2,Yes
6.2,2.2,97,1027.8,8,10.3,Yes,4.8,Yes
4.8,0.2,90,1022.9,7,12.9,Yes,0.2,No
0.2,1.2,86,1023.7,1,11.2,No,0.6,No
0.6,3.2,82,1013.7,4,8.8,No,0,No
0,2.2,73,1025.7,4,6.5,No,0,No
0,2.6,72,1029,1,9,No,0,No
0,2.6,78,1027.8,7,9.5,No,0,No
0,1.6,80,1028.6,7,9.4,No,0,No
0,1,97,1026.7,5,4,No,0,No
0,0.6,95,1022.5,8,8.4,No,4.8,Yes
4.8,0.6,91,1021.2,8,9.7,Yes,0.6,No
0.6,0.8,99,1023,3,4.2,No,0,No
0,1.4,74,1026.4,5,8.8,No,0,No
0,2,92,1025.1,7,5.5,No,0,No
0,1.4,95,1028.2,8,4.3,No,0,No
0,2,75,1026.3,3,7.8,No,0,No
0,2.6,81,1018.7,6,7,No,0,No
0,3.4,71,1027.8,1,6.7,No,0,No
0,2.2,90,1029.1,4,2.1,No,0,No
0,1.4,84,1024.6,7,6.5,No,0,No
0,2.4,53,1017.2,1,9.7,No,2,Yes
2,3.6,73,1012.1,3,6.9,Yes,0.2,No
0.2,2.8,62,1013.5,5,10.6,No,0,No
0,2.8,82,1024.3,1,3,No,0,No
0,1.8,80,1030.5,1,5.9,No,0,No
0,1.4,81,1032.9,1,4.7,No,0,No
0,1.2,86,1030,5,3.7,No,0.8,No
0.8,1.4,99,1024.4,7,6.3,No,16.8,Yes
16.8,1.4,93,1021.6,6,5.5,Yes,0,No
0,0.8,95,1020,7,1.8,No,0,No
0,1.8,83,1014.6,7,6,No,1.6,Yes
1.6,1.4,76,1016.7,7,5.5,Yes,0.2,No
0.2,1.4,87,1027.1,1,0.8,No,0,No
0,1,92,1024.4,7,2.8,No,0,No
0,0.6,93,1021.8,5,6.7,No,0,No
0,1.8,83,1023,1,3.9,No,0.2,No
0.2,2,99,1024.1,7,2.7,No,0,No
0,0.6,99,1019.7,7,1.3,No,0,No
0,0.8,75,1010.8,3,7.7,No,1.2,Yes
1.2,2.2,71,1016.7,1,6,Yes,0.2,No
0.2,1.8,92,1014.4,7,2.4,No,19.2,Yes
19.2,1.8,78,1006.9,7,7.6,Yes,0,No
0,1.4,68,1025.7,1,3.4,No,0,No
0,1.6,76,1033.5,1,3.6,No,0,No
0,1.6,82,1032.2,3,3.7,No,0,No
0,1.2,92,1025.7,2,1.4,No,0.2,No
0.2,2.2,88,1020,7,1.2,No,0,No
0,1.4,92,1013.8,7,1,No,1.4,Yes
1.4,0.8,74,1014.1,2,5.6,Yes,0,No
0,1.8,69,1020.9,3,6.5,No,0,No
0,2.6,84,1018.3,1,2.7,No,0,No
0,2.2,81,1017.3,1,3,No,1,No
1,2.6,64,1005.1,8,9.6,No,6.6,Yes
6.6,2.2,67,1013.9,1,6.9,Yes,0,No
0,2.2,70,1021.2,1,7.8,No,0,No
0,2.4,81,1020.9,1,2.6,No,0,No
0,1.8,78,1020.8,3,5.5,No,4,Yes
4,1.6,67,1018.2,5,8.9,Yes,0,No
0,3,89,1018.4,7,3.8,No,1.2,Yes
1.2,1.4,69,1019.8,6,7.6,Yes,0,No
0,1.8,76,1022.4,1,5.6,No,0.4,No
0.4,2.4,92,1014.8,8,3.3,No,0.4,No
0.4,1.4,72,1017.4,1,4.7,No,0,No
0,1.8,69,1021.3,1,7,No,0,No
0,2.8,58,1024.2,1,6.5,No,0,No
0,3.4,59,1022.2,1,6.2,No,0,No
0,4.4,54,1014.7,1,9.2,No,0,No
0,3,52,1012.7,1,8.7,No,0,No
0,4,59,1023.3,0,4.5,No,0,No
0,3,89,1025.2,6,1.4,No,0,No
0,2.2,94,1029.6,6,0.1,No,0,No
0,2.4,60,1027.3,7,7.9,No,0,No
0,3,50,1021.4,8,8.6,No,0,No
0,2.6,66,1018.5,8,6.9,No,0,No
0,5.4,49,1025.9,1,6.7,No,0,No
0,2.6,64,1031,0,5.2,No,0,No
0,2.6,82,1030.2,7,5.3,No,0,No
0,2.8,77,1023.9,5,4.8,No,0,No
0,3,57,1027.7,1,7.9,No,0,No
0,3.4,60,1029.9,1,7.2,No,0,No
0,3.4,74,1027.6,7,7.3,No,0,No
0,1.8,81,1023.7,7,6.2,No,4,Yes
4,2.2,89,1011.2,7,13.5,Yes,7.4,Yes
7.4,2.6,60,1023.2,1,8.8,Yes,0,No
0,3.8,69,1027,1,9,No,0,No
0,2.8,69,1033.6,7,9.3,No,0.2,No
0.2,2.2,65,1035.7,7,8.3,No,0,No
0,1.6,79,1027.3,8,8.7,No,0,No
0,1.8,63,1019.7,7,10,No,0,No
0,2.8,84,1018.1,7,6.4,No,1,No
1,2.4,79,1020.6,1,7.2,No,0,No
0,3.4,53,1025.8,0,5.5,No,0,No
0,4,62,1022.8,1,6.3,No,0,No
0,3,68,1018.8,1,6,No,0,No
0,5,44,1014.6,7,11.9,No,0,No
0,5.6,47,1015.3,3,17.5,No,9.8,Yes
9.8,8.8,71,1007.3,7,16.7,Yes,1.6,Yes
1.6,5.2,63,1009.1,3,15.6,Yes,3.4,Yes
3.4,6.6,53,1017,3,7.1,Yes,0,No
0,5.6,69,1026.7,7,7.4,No,0,No
0,1.6,82,1021,4,7,No,0,No
0,3.6,54,1016.4,1,16.4,No,0,No
0,6.8,46,1012.5,1,18.3,No,0,No
0,10,42,1018.7,1,14.5,No,0,No
0,6.8,51,1012.1,1,15.9,No,17.4,Yes
17.4,6.4,73,1016.7,7,8,Yes,0,No
0,2.2,67,1030.5,1,10.7,No,0,No
0,2.6,70,1032.2,1,11,No,0,No
0,3.6,48,1025.4,2,15.4,No,0,No
0,4.8,62,1022.8,5,15.9,No,0,No
0,9.4,36,1010.5,1,20.4,No,0,No
0,9.6,41,1015.2,2,14.9,No,0,No
0,4.8,52,1019.8,2,9.8,No,0,No
0,5.4,56,1020.8,5,11.3,No,0,No
0,5.2,44,1017.7,0,19,No,0,No
0,10,44,1016.3,1,22.5,No,7.6,Yes
7.6,9.4,94,1015.5,8,14.5,Yes,3,Yes
3,4.2,79,1018.1,8,11.7,Yes,0,No
0,4.8,65,1009.5,5,12.8,No,8.2,Yes
8.2,5.4,68,1016.8,1,6.9,Yes,0,No
0,5.8,72,1019.1,0,7.2,No,0,No
0,6.2,69,1026.2,0,8.1,No,0,No
0,4.4,82,1028.8,1,10,No,0,No
0,5.4,70,1027.8,1,13.6,No,0,No
0,4.8,67,1025.8,0,12.6,No,0,No
0,6.2,56,1020.9,4,16.3,No,13.2,Yes
13.2,6.6,82,1019.2,7,14.5,Yes,0.6,No
0.6,3.4,71,1022.3,7,11.6,No,0,No
0,4.2,73,1025.7,1,9.6,No,0,No
0,6.2,73,1024.5,6,11.6,No,0,No
0,5.4,80,1025.7,1,12.7,No,0,No
0,5.8,66,1024.1,1,16.8,No,0.2,No
0.2,7.6,60,1021.4,1,16.4,No,0,No
0,9,54,1022.3,7,11.4,No,0.8,No
0.8,4.8,43,1023.4,1,8.3,No,0,No
0,7.4,47,1026.6,1,9.1,No,0,No
0,5.4,71,1023.2,3,9.4,No,0,No
0,5.2,57,1018.8,0,12,No,0,No
0,6.8,45,1017.6,5,16.3,No,0,No
0,7.6,38,1016.1,1,20.4,No,0,No
0,11.6,45,1020,0,17.2,No,0,No
0,8.4,63,1024,3,14.5,No,0,No
0,5,69,1021,6,15.8,No,0,No
0,6,43,1009.6,1,23.8,No,0,No
